Date,Open,High,Low,Close,Adj Close,Volume,Percent Change,Change
1/2/20,28638.9707,28872.80078,28627.76953,28868.80078,28868.80078,251820000,1.2%,330.36
1/3/20,28553.33008,28716.31055,28500.35938,28634.88086,28634.88086,239590000,-0.8%,-233.919922
1/6/20,28465.5,28708.01953,28418.63086,28703.38086,28703.38086,252760000,0.2%,68.5
1/7/20,28639.17969,28685.5,28565.2793,28583.67969,28583.67969,258900000,-0.4%,-119.701171
1/8/20,28556.14063,28866.17969,28522.50977,28745.08984,28745.08984,291750000,0.6%,161.410156
1/9/20,28851.9707,28988.00977,28844.31055,28956.90039,28956.90039,275060000,0.7%,211.810547
1/10/20,28977.51953,29009.07031,28789.09961,28823.76953,28823.76953,237830000,-0.5%,-133.13086
1/13/20,28869.00977,28909.91016,28819.42969,28907.05078,28907.05078,249830000,0.3%,83.28125
1/14/20,28895.5,29054.16016,28872.26953,28939.66992,28939.66992,287440000,0.1%,32.619141
1/15/20,28901.80078,29127.58984,28897.34961,29030.2207,29030.2207,260270000,0.3%,90.550781
1/16/20,29131.94922,29300.32031,29131.94922,29297.64063,29297.64063,252110000,0.9%,267.419922
1/17/20,29313.31055,29373.61914,29289.91016,29348.09961,29348.09961,321820000,0.2%,50.458984
1/21/20,29269.05078,29341.21094,29146.4707,29196.03906,29196.03906,320640000,-0.5%,-152.060546
1/22/20,29263.63086,29320.19922,29172.25977,29186.26953,29186.26953,283440000,0.0%,-9.769532
1/23/20,29111.01953,29190.4707,28966.98047,29160.08984,29160.08984,307060000,-0.1%,-26.179687
1/24/20,29230.39063,29288.78906,28843.31055,28989.73047,28989.73047,380010000,-0.6%,-170.359375
1/27/20,28542.49023,28671.78906,28440.4707,28535.80078,28535.80078,337270000,-1.6%,-453.929688
1/28/20,28594.2793,28823.23047,28575.75,28722.84961,28722.84961,330140000,0.7%,187.048828
1/29/20,28820.5293,28944.24023,28728.18945,28734.44922,28734.44922,302290000,0.0%,11.59961
1/30/20,28640.16016,28879.71094,28489.75977,28859.43945,28859.43945,326850000,0.4%,124.990234
1/31/20,28813.03906,28813.03906,28169.5293,28256.0293,28256.0293,403890000,-2.1%,-603.410156
2/3/20,28319.65039,28630.39063,28319.65039,28399.81055,28399.81055,307910000,0.5%,143.78125
2/4/20,28696.74023,28904.88086,28696.74023,28807.63086,28807.63086,332750000,1.4%,407.820312
2/5/20,29048.73047,29308.89063,29000.84961,29290.84961,29290.84961,357540000,1.7%,483.21875
2/6/20,29388.58008,29408.05078,29246.92969,29379.76953,29379.76953,263700000,0.3%,88.919922
2/7/20,29286.91992,29286.91992,29056.98047,29102.50977,29102.50977,252860000,-0.9%,-277.259765
2/10/20,28995.66016,29278.07031,28995.66016,29276.82031,29276.82031,250510000,0.6%,174.310547
2/11/20,29390.71094,29415.39063,29210.4707,29276.33984,29276.33984,279540000,0.0%,-0.480469
2/12/20,29406.75,29568.57031,29406.75,29551.41992,29551.41992,309530000,0.9%,275.080078
2/13/20,29436.0293,29535.40039,29345.92969,29423.31055,29423.31055,291150000,-0.4%,-128.109375
2/14/20,29440.4707,29463.03906,29283.17969,29398.08008,29398.08008,231000000,-0.1%,-25.230469
2/18/20,29282.7793,29330.16016,29116.81055,29232.18945,29232.18945,256600000,-0.6%,-165.890625
2/19/20,29312.69922,29409.08984,29274.38086,29348.0293,29348.0293,240640000,0.4%,115.839844
2/20/20,29296.25,29368.44922,28959.65039,29219.98047,29219.98047,287780000,-0.4%,-128.048828
2/21/20,29146.5293,29146.5293,28892.69922,28992.41016,28992.41016,311210000,-0.8%,-227.570313
2/24/20,28402.92969,28402.92969,27912.43945,27960.80078,27960.80078,452580000,-3.6%,-1031.609375
2/25/20,28037.65039,28149.19922,26997.61914,27081.35938,27081.35938,513270000,-3.1%,-879.441406
2/26/20,27159.46094,27542.7793,26890.9707,26957.58984,26957.58984,472450000,-0.5%,-123.769531
2/27/20,26526,26775.31055,25752.82031,25766.64063,25766.64063,664980000,-4.4%,-1190.949219
2/28/20,25270.83008,25494.24023,24681.00977,25409.35938,25409.35938,915990000,-1.4%,-357.28125
3/2/20,25590.50977,26706.16992,25391.96094,26703.32031,26703.32031,637200000,5.1%,1293.960938
3/3/20,26762.4707,27084.58984,25706.2793,25917.41016,25917.41016,647080000,-2.9%,-785.910157
3/4/20,26383.67969,27102.33984,26286.31055,27090.85938,27090.85938,457590000,4.5%,1173.449219
3/5/20,26671.91992,26671.91992,25943.33008,26121.2793,26121.2793,477370000,-3.6%,-969.580078
3/6/20,25457.21094,25994.38086,25226.61914,25864.7793,25864.7793,599780000,-1.0%,-256.5
3/9/20,24992.35938,24992.35938,23706.07031,23851.01953,23851.01953,750430000,-7.8%,-2013.759766
3/10/20,24453,25020.99023,23690.33984,25018.16016,25018.16016,654860000,4.9%,1167.140625
3/11/20,24604.63086,24604.63086,23328.32031,23553.2207,23553.2207,663960000,-5.9%,-1464.939453
3/12/20,22184.71094,22837.94922,21154.46094,21200.61914,21200.61914,908260000,-10.0%,-2352.601562
3/13/20,21973.82031,23189.75977,21285.36914,23185.61914,23185.61914,843080000,9.4%,1985
3/16/20,20917.5293,21768.2793,20116.46094,20188.51953,20188.51953,770130000,-12.9%,-2997.09961
3/17/20,20487.05078,21379.34961,19882.25977,21237.38086,21237.38086,793060000,5.2%,1048.861328
3/18/20,20188.6895,20489.3301,18917.4609,19898.9199,19898.9199,874090339,-6.3%,-1338.460959
19-Mar-20,"19,830.01","20,442.63","19,177.13","20,087.19","20,087.19","780,299,399",0.9%,188.2701
20-Mar-20,"20,253.15","20,531.26","19,094.27","19,173.98","19,173.98","872,290,000",-4.5%,-913.21